# COLUMN0,COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9
1.550999999999999879e-01,1.930000000000000049e-01,1.397299999999999986e+00,1.731999999999999929e-01,1.965000000000000080e-02,1.000000000000000048e-04,1.140000000000000041e-02,6.439000000000000279e-02,9.295000000000002149e-01,3.976000000000000090e-01
1.545999999999999874e-01,1.920000000000000040e-01,1.393000000000000016e+00,1.716999999999999915e-01,1.958999999999999977e-02,9.899999999999999404e-05,1.133999999999999939e-02,6.242000000000000326e-02,9.251000000000000334e-01,3.930000000000000160e-01
1.554999999999999993e-01,1.922000000000000097e-01,1.400800000000000045e+00,1.708000000000000074e-01,1.953999999999999834e-02,9.899999999999999404e-05,1.145000000000000011e-02,6.194999999999999812e-02,9.285000000000002141e-01,3.930000000000000160e-01
1.550999999999999879e-01,1.910999999999999921e-01,1.395299999999999985e+00,1.706000000000000016e-01,1.941999999999999976e-02,9.899999999999999404e-05,1.132999999999999979e-02,6.212999999999999773e-02,9.230000000000000426e-01,3.921000000000000041e-01
1.545999999999999874e-01,1.907000000000000084e-01,1.396700000000000053e+00,1.706000000000000016e-01,1.941999999999999976e-02,9.899999999999999404e-05,1.137999999999999949e-02,6.201999999999999874e-02,9.275999999999999801e-01,3.916999999999999926e-01
1.537999999999999923e-01,1.908999999999999864e-01,1.397000000000000020e+00,1.703999999999999959e-01,1.935999999999999874e-02,9.899999999999999404e-05,1.141000000000000000e-02,6.112999999999999684e-02,9.235999999999999766e-01,3.901000000000000023e-01
1.535999999999999865e-01,1.905000000000000027e-01,1.391599999999999948e+00,1.703999999999999959e-01,1.933999999999999955e-02,9.899999999999999404e-05,1.140000000000000041e-02,6.040000000000000230e-02,9.274000000000000021e-01,3.906999999999999917e-01
1.542000000000000037e-01,1.902999999999999969e-01,1.396600000000000064e+00,1.691999999999999893e-01,1.927999999999999853e-02,9.899999999999999404e-05,1.148000000000000062e-02,6.040999999999999842e-02,9.347999999999999643e-01,3.892999999999999794e-01
1.544999999999999984e-01,1.902999999999999969e-01,1.396700000000000053e+00,1.693999999999999950e-01,1.926999999999999894e-02,9.899999999999999404e-05,1.144000000000000052e-02,6.074999999999999845e-02,9.338999999999999524e-01,3.906000000000000028e-01
1.542000000000000037e-01,1.907000000000000084e-01,1.395000000000000018e+00,1.696999999999999897e-01,1.932000000000000037e-02,9.799999999999999684e-05,1.153000000000000032e-02,6.074999999999999845e-02,9.344999999999999973e-01,3.906000000000000028e-01
1.542999999999999927e-01,1.905000000000000027e-01,1.397000000000000020e+00,1.683000000000000052e-01,1.922000000000000097e-02,9.799999999999999684e-05,1.156000000000000083e-02,6.054999999999999966e-02,9.394000000000000128e-01,3.890000000000000124e-01
1.554999999999999993e-01,1.925000000000000044e-01,1.405200000000000005e+00,1.696999999999999897e-01,1.932000000000000037e-02,9.899999999999999404e-05,1.159999999999999920e-02,6.033000000000000168e-02,9.449999999999999512e-01,3.911000000000000032e-01
1.572000000000000064e-01,1.938000000000000000e-01,1.415899999999999936e+00,1.716999999999999915e-01,1.955000000000000140e-02,1.000000000000000048e-04,1.157000000000000042e-02,6.074999999999999845e-02,9.550999999999999490e-01,3.982999999999999874e-01
1.582999999999999963e-01,1.940000000000000058e-01,1.424199999999999910e+00,1.719999999999999862e-01,1.958999999999999977e-02,9.899999999999999404e-05,1.162000000000000012e-02,6.146999999999999686e-02,9.546000000000000041e-01,4.038999999999999813e-01
1.587000000000000077e-01,1.938999999999999890e-01,1.426600000000000090e+00,1.713000000000000078e-01,1.950999999999999956e-02,9.899999999999999404e-05,1.174000000000000044e-02,6.201999999999999874e-02,9.586000000000000076e-01,4.041000000000000147e-01
1.580000000000000016e-01,1.920999999999999930e-01,1.415599999999999969e+00,1.698000000000000065e-01,1.933999999999999955e-02,9.899999999999999404e-05,1.161000000000000053e-02,6.162999999999999728e-02,9.557999999999999829e-01,4.012999999999999901e-01
1.572000000000000064e-01,1.900999999999999912e-01,1.405200000000000005e+00,1.686999999999999889e-01,1.923000000000000057e-02,9.799999999999999684e-05,1.152000000000000073e-02,6.137999999999999706e-02,9.495999999999999996e-01,3.986000000000000099e-01
1.570000000000000007e-01,1.904000000000000137e-01,1.400099999999999900e+00,1.688999999999999946e-01,1.923000000000000057e-02,9.799999999999999684e-05,1.145000000000000011e-02,6.189999999999999669e-02,9.486999999999999877e-01,3.971000000000000085e-01
