# COLUMN0,COLUMN1,COLUMN2
6.344699999999999562e+00,6.378999999999999559e+00,6.268099999999999561e+00
6.321799999999999642e+00,6.372099999999999653e+00,6.211599999999999788e+00
6.294100000000000250e+00,6.313900000000000290e+00,6.156100000000000350e+00
6.191499999999999559e+00,6.477299999999999613e+00,6.168899999999999828e+00
6.284799999999999720e+00,6.420700000000000074e+00,6.137999999999999901e+00
6.397899999999999920e+00,6.514999999999999680e+00,6.380200000000000315e+00
6.500799999999999912e+00,6.519199999999999662e+00,6.245400000000000063e+00
6.362400000000000055e+00,6.425099999999999589e+00,6.269599999999999618e+00
6.303099999999999703e+00,6.350900000000000212e+00,6.180699999999999861e+00
6.217900000000000205e+00,6.308799999999999741e+00,6.153999999999999915e+00
6.234700000000000131e+00,6.320199999999999818e+00,6.192899999999999849e+00
6.283000000000000362e+00,6.316200000000000259e+00,6.121400000000000396e+00
6.204299999999999926e+00,6.227699999999999569e+00,6.121000000000000441e+00
6.144400000000000084e+00,6.277400000000000091e+00,6.080300000000000260e+00
6.269700000000000273e+00,6.315000000000000391e+00,6.165199999999999569e+00
6.177599999999999980e+00,6.237899999999999778e+00,6.130499999999999616e+00
6.195299999999999585e+00,6.273100000000000342e+00,6.151399999999999757e+00
6.253000000000000114e+00,6.347500000000000142e+00,6.242799999999999905e+00
6.295799999999999841e+00,6.332099999999999618e+00,6.206699999999999662e+00
6.231099999999999639e+00,6.239600000000000257e+00,6.099099999999999966e+00
6.143200000000000216e+00,6.171199999999999797e+00,6.043899999999999828e+00
6.066799999999999748e+00,6.131000000000000227e+00,5.989799999999999791e+00
6.013899999999999579e+00,6.058099999999999596e+00,5.937299999999999578e+00
5.962299999999999933e+00,5.973399999999999821e+00,5.888300000000000090e+00
5.926099999999999923e+00,6.091999999999999638e+00,5.875000000000000000e+00
6.025100000000000122e+00,6.099599999999999689e+00,5.995000000000000107e+00
6.056000000000000050e+00,6.123000000000000220e+00,6.012500000000000178e+00
6.095299999999999940e+00,6.164699999999999847e+00,6.034500000000000419e+00
6.065299999999999692e+00,6.069700000000000095e+00,5.980100000000000193e+00
6.062999999999999723e+00,6.157099999999999795e+00,5.943900000000000183e+00
6.105299999999999727e+00,6.244299999999999962e+00,6.102299999999999613e+00
6.233200000000000074e+00,6.284299999999999997e+00,6.214100000000000179e+00
6.263300000000000090e+00,6.323500000000000121e+00,6.210700000000000109e+00
6.307999999999999829e+00,6.325899999999999856e+00,6.213899999999999757e+00
6.258700000000000152e+00,6.275599999999999845e+00,6.098300000000000054e+00
6.206400000000000361e+00,6.313600000000000101e+00,6.190599999999999881e+00
6.299299999999999677e+00,6.310200000000000031e+00,6.184499999999999886e+00
6.290199999999999569e+00,6.384199999999999875e+00,6.285499999999999865e+00
6.372399999999999842e+00,6.376400000000000290e+00,6.278299999999999770e+00
6.296299999999999564e+00,6.384800000000000253e+00,6.237199999999999633e+00
6.345699999999999896e+00,6.425699999999999967e+00,6.344100000000000072e+00
6.405300000000000438e+00,6.419100000000000250e+00,6.328800000000000203e+00
6.363400000000000389e+00,6.489600000000000257e+00,6.343700000000000117e+00
6.463000000000000078e+00,6.566799999999999748e+00,6.455599999999999561e+00
6.538700000000000401e+00,6.610599999999999810e+00,6.479099999999999859e+00
6.602899999999999991e+00,6.606600000000000250e+00,6.512699999999999712e+00
6.586199999999999832e+00,6.695700000000000429e+00,6.549999999999999822e+00
6.658800000000000274e+00,6.788800000000000168e+00,6.658400000000000318e+00
6.739600000000000257e+00,6.910899999999999821e+00,6.713499999999999801e+00
6.896899999999999586e+00,6.941799999999999748e+00,6.870099999999999874e+00
6.909900000000000375e+00,6.954399999999999693e+00,6.835899999999999643e+00
6.936799999999999855e+00,7.045899999999999608e+00,6.900599999999999845e+00
7.019700000000000273e+00,7.027099999999999902e+00,6.877100000000000435e+00
6.906500000000000306e+00,6.927500000000000213e+00,6.681400000000000006e+00
6.737499999999999822e+00,6.776399999999999757e+00,6.650299999999999656e+00
6.711700000000000443e+00,6.756400000000000183e+00,6.629500000000000171e+00
6.687299999999999578e+00,6.880799999999999805e+00,6.604899999999999771e+00
6.723600000000000243e+00,6.864799999999999791e+00,6.673300000000000232e+00
6.698299999999999699e+00,6.911299999999999777e+00,6.697400000000000020e+00
6.787399999999999878e+00,6.814499999999999780e+00,6.682500000000000107e+00
6.759900000000000020e+00,6.801999999999999602e+00,6.632200000000000095e+00
6.663700000000000401e+00,6.708599999999999675e+00,6.610000000000000320e+00
6.647499999999999964e+00,6.688699999999999868e+00,6.569799999999999862e+00
6.666400000000000325e+00,6.735699999999999577e+00,6.635799999999999699e+00
