Open,High,Low
6.3447,6.379,6.2681
6.3218,6.3721,6.2116
6.2941,6.3139,6.1561
6.1915,6.4773,6.1689
6.2848,6.4207,6.138
6.3979,6.515,6.3802
6.5008,6.5192,6.2454
6.3624,6.4251,6.2696
6.3031,6.3509,6.1807
6.2179,6.3088,6.154
6.2347,6.3202,6.1929
6.283,6.3162,6.1214
6.2043,6.2277,6.121
6.1444,6.2774,6.0803
6.2697,6.315,6.1652
6.1776,6.2379,6.1305
6.1953,6.2731,6.1514
6.253,6.3475,6.2428
6.2958,6.3321,6.2067
6.2311,6.2396,6.0991
6.1432,6.1712,6.0439
6.0668,6.131,5.9898
6.0139,6.0581,5.9373
5.9623,5.9734,5.8883
5.9261,6.092,5.875
6.0251,6.0996,5.995
6.056,6.123,6.0125
6.0953,6.1647,6.0345
6.0653,6.0697,5.9801
6.063,6.1571,5.9439
6.1053,6.2443,6.1023
6.2332,6.2843,6.2141
6.2633,6.3235,6.2107
6.308,6.3259,6.2139
6.2587,6.2756,6.0983
6.2064,6.3136,6.1906
6.2993,6.3102,6.1845
6.2902,6.3842,6.2855
6.3724,6.3764,6.2783
6.2963,6.3848,6.2372
6.3457,6.4257,6.3441
6.4053,6.4191,6.3288
6.3634,6.4896,6.3437
6.463,6.5668,6.4556
6.5387,6.6106,6.4791
6.6029,6.6066,6.5127
6.5862,6.6957,6.55
6.6588,6.7888,6.6584
6.7396,6.9109,6.7135
6.8969,6.9418,6.8701
6.9099,6.9544,6.8359
6.9368,7.0459,6.9006
7.0197,7.0271,6.8771
6.9065,6.9275,6.6814
6.7375,6.7764,6.6503
6.7117,6.7564,6.6295
6.6873,6.8808,6.6049
6.7236,6.8648,6.6733
6.6983,6.9113,6.6974
6.7874,6.8145,6.6825
6.7599,6.802,6.6322
6.6637,6.7086,6.61
6.6475,6.6887,6.5698
6.6664,6.7357,6.6358
6.7084,6.7492,6.6098
6.6423,6.7336,6.6156
6.7106,6.883,6.6903
6.8611,6.8948,6.8278
6.8631,6.9076,6.7751
6.7817,6.8483,6.7714
6.788,6.7966,6.7029
6.7176,6.7488,6.6258
6.6408,6.7094,6.6126
6.6955,6.7121,6.5701
6.5868,6.6761,6.5432
6.6558,6.6839,6.2885
6.3025,6.5788,6.2582
